,houseName,roomType,area,toward,floor,year,address,price,unitPrice,region
0,穗园小区 ,3室2厅,96.34平米,东南,低楼层(共30层),2000年建塔楼,天润路,580,单价60204元/平米,天河
1,骏景花园 ,3室2厅,104平米,南 北,低楼层(共20层),2003年建塔楼,棠下,505,单价48558元/平米,天河
2,方圆月岛 ,3室2厅,132.5平米,南,低楼层(共46层),2009年建塔楼,珠江新城中,1150,单价86793元/平米,天河
3,赛拉维 ,2室2厅,75.59平米,南,低楼层(共30层),2006年建塔楼,员村,400,单价52918元/平米,天河
4,水利电力学院 ,2室2厅,67平米,南 北,高楼层(共8层),1999年建塔楼,天润路,339,单价50598元/平米,天河
5,华景新城翠安侬苑 ,3室2厅,109.88平米,南,高楼层(共32层),2002年建塔楼,华景新城,625,单价56881元/平米,天河
6,华景新城信华花园 ,3室2厅,109平米,西南,中楼层(共31层),2012年建塔楼,华景新城,670,单价61468元/平米,天河
7,紫荆小区 ,2室2厅,74平米,南,中楼层(共9层),1998年建塔楼,天河北,510,单价68919元/平米,天河
8,先烈东路 ,2室2厅,63.79平米,南 北,高楼层(共9层),1999年建塔楼,沙河,145,单价22731元/平米,天河
9,天誉花园 ,2室1厅,78平米,西,中楼层(共30层),2000年建塔楼,天河北,515,单价66026元/平米,天河
10,南华工商学院 ,3室1厅,74.59平米,东南,低楼层(共7层),2005年建塔楼,沙太南,242,单价32445元/平米,天河
11,广和路广和一街 ,2室2厅,70.8平米,西南,低楼层(共9层),塔楼,天河南,335,单价47317元/平米,天河
12,骏景花园 ,4室2厅,129.83平米,南,中楼层(共20层),2003年建塔楼,棠下,720,单价55458元/平米,天河
13,华景新城信华花园 ,3室2厅,104平米,西南,中楼层(共28层),2012年建塔楼,华景新城,620,单价59616元/平米,天河
14,嘉尚国际公寓 ,1室1厅,50.04平米,东,高楼层(共32层),2009年建塔楼,天河北,420,单价83933元/平米,天河
15,金燕花园 ,3室2厅,103平米,东,低楼层(共16层),2004年建塔楼,粤垦,415,单价40292元/平米,天河
16,侨林苑三期 ,3室2厅,106.12平米,东南,中楼层(共31层),2003年建塔楼,天河北,900,单价84810元/平米,天河
17,穗园小区 ,3室2厅,103平米,南 北,低楼层(共28层),2000年建塔楼,天润路,550,单价53399元/平米,天河
18,芳草园 ,2室2厅,86平米,东北,高楼层(共30层),2004年建塔楼,天河北,572,单价66512元/平米,天河
19,华景新城芳满庭园 ,3室1厅,97平米,东南,高楼层(共36层),2005年建塔楼,华景新城,610,单价62887元/平米,天河
20,六运小区 ,3室1厅,78.39平米,东南,高楼层(共8层),板楼,天河南,390,单价49752元/平米,天河
