,area,street,community,introduction,room_type,acreage,price,unit_price,toward,decoration,elevator,floor,year,follow,visit,release_time,url
0,天河,天润路,穗园小区 ,穗园小区 南向三房 户型方正 双阳台,3室2厅,96.34平米,580,单价60204元/平米,东南,其他,有电梯,低楼层(共30层),2000年建塔楼,20人关注,共48次带看,15天以前发布,https://gz.lianjia.com/ershoufang/GZ0004244666.html
1,天河,棠下,骏景花园 ,骏景花园南苑 精致三房 安静望花园,3室2厅,104平米,505,单价48558元/平米,南 北,其他,有电梯,低楼层(共20层),2003年建塔楼,44人关注,共21次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003841665.html
2,天河,珠江新城中,方圆月岛 ,南向 三房 全新装修 即买即住,3室2厅,132.5平米,1150,单价86793元/平米,南,精装,有电梯,低楼层(共46层),2009年建塔楼,318人关注,共13次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002235949.html
3,天河,员村,赛拉维 ,赛拉维 南向方正两房 安静望花园,2室2厅,75.59平米,400,单价52918元/平米,南,简装,有电梯,低楼层(共30层),2006年建塔楼,106人关注,共18次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002872539.html
4,天河,天润路,水利电力学院 ,水利电力学院 南北向装修保养好 户型方正,2室2厅,67平米,339,单价50598元/平米,南 北,精装,无电梯,高楼层(共8层),1999年建塔楼,15人关注,共14次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003963634.html
5,天河,华景新城,华景新城翠安侬苑 ,华景新城 翠安侬苑 南向三房 高层无遮挡,3室2厅,109.88平米,625,单价56881元/平米,南,其他,有电梯,高楼层(共32层),2002年建塔楼,15人关注,共21次带看,31天以前发布,https://gz.lianjia.com/ershoufang/GZ0004122402.html
6,天河,华景新城,华景新城信华花园 ,信华花园 电梯三房 安静望花园,3室2厅,109平米,670,单价61468元/平米,西南,简装,有电梯,中楼层(共31层),2012年建塔楼,19人关注,共7次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003653443.html
7,天河,天河北,紫荆小区 ,紫荆小区  安静采光好 居住舒适,2室2厅,74平米,510,单价68919元/平米,南,简装,无电梯,中楼层(共9层),1998年建塔楼,9人关注,共16次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004096712.html
8,天河,沙河,先烈东路 ,先烈东路 交通方便,2室2厅,63.79平米,145,单价22731元/平米,南 北,简装,无电梯,高楼层(共9层),1999年建塔楼,1150人关注,共23次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003330162.html
9,天河,天河北,天誉花园 ,天誉花园 两房一厅 户型方正,2室1厅,78平米,515,单价66026元/平米,西,简装,有电梯,中楼层(共30层),2000年建塔楼,22人关注,共19次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003498936.html
10,天河,沙太南,南华工商学院 ,南华工商学院  面积实用 便利生活,3室1厅,74.59平米,242,单价32445元/平米,东南,其他,-,低楼层(共7层),2005年建塔楼,45人关注,共11次带看,23天以前发布,https://gz.lianjia.com/ershoufang/GZ0004194085.html
11,天河,天河南,广和路广和一街 ,广和一街小区安静 通风采光好 温馨两房,2室2厅,70.8平米,335,单价47317元/平米,西南,其他,-,低楼层(共9层),塔楼,6人关注,共11次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003941562.html
12,天河,棠下,骏景花园 ,骏景花园南苑 安静望花园 采光通风好,4室2厅,129.83平米,720,单价55458元/平米,南,其他,有电梯,中楼层(共20层),2003年建塔楼,9人关注,共8次带看,24天以前发布,https://gz.lianjia.com/ershoufang/GZ0004178842.html
13,天河,华景新城,华景新城信华花园 ,信华花园 西南向三房,3室2厅,104平米,620,单价59616元/平米,西南,简装,有电梯,中楼层(共28层),2012年建塔楼,7人关注,共4次带看,10天以前发布,https://gz.lianjia.com/ershoufang/GZ0004292391.html
14,天河,天河北,嘉尚国际公寓 ,天河北嘉尚国际精装修正东向,1室1厅,50.04平米,420,单价83933元/平米,东,精装,有电梯,高楼层(共32层),2009年建塔楼,7人关注,共10次带看,24天以前发布,https://gz.lianjia.com/ershoufang/GZ0004177498.html
15,天河,粤垦,金燕花园 ,金燕花园 精装三房 户型方正 采光好,3室2厅,103平米,415,单价40292元/平米,东,其他,有电梯,低楼层(共16层),2004年建塔楼,26人关注,共5次带看,5个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003283296.html
16,天河,天河北,侨林苑三期 ,侨林苑三期 东南向三房 双阳台,3室2厅,106.12平米,900,单价84810元/平米,东南,精装,有电梯,中楼层(共31层),2003年建塔楼,15人关注,共5次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003390367.html
17,天河,天润路,穗园小区 ,"穗园小区 精装修，保养好, 采光好",3室2厅,103平米,550,单价53399元/平米,南 北,其他,有电梯,低楼层(共28层),2000年建塔楼,82人关注,共5次带看,11个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002884663.html
18,天河,天河北,芳草园 ,芳草园.方正两房.装修保养好.,2室2厅,86平米,572,单价66512元/平米,东北,其他,有电梯,高楼层(共30层),2004年建塔楼,41人关注,共18次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004039552.html
19,天河,华景新城,华景新城芳满庭园 ,芳满庭园 南向三房 高层视野好,3室1厅,97平米,610,单价62887元/平米,东南,其他,有电梯,高楼层(共36层),2005年建塔楼,1人关注,共0次带看,7天以前发布,https://gz.lianjia.com/ershoufang/GZ0004331797.html
